hyperedge_id,hyperedge_type,mapper_node_id,image_name,hyperedge_weight
HE_000000,mapper_topology,cube11_cluster0,z_90_01124.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_90_01454.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_82_00303.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_88_00400.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_82_01124.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_80_00273.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_84_00306.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_88_01126.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01454.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01124.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_90_00480.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01126.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_82_00246.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01008.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01047.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_86_01388.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_84_01128.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_84_01388.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_84_01038.png,0.02426508752972849
HE_000000,mapper_topology,cube11_cluster0,z_88_00395.png,0.02426508752972849
HE_000001,mapper_topology,cube12_cluster0,z_90_00322.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_90_01124.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_90_01454.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_82_00303.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_84_00187.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_88_00400.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_86_00177.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_82_01124.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_80_00273.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_84_00306.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_88_00324.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_90_00249.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_82_01084.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_88_01126.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_88_00116.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_88_01287.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_82_01280.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_86_01454.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_86_01124.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_84_01157.png,0.0665063888149974
HE_000001,mapper_topology,cube12_cluster0,z_90_00267.png,0.0665063888149974
